collected_at,year_week,total_aegypti_caught,total_albopictus_caught,screening_total_aeg,screening_wmel_aeg,month,cluster
2023-04-10,2023_15,0,0,NA,NA,april,A
2023-04-10,2023_15,1,0,1,1,april,A
2023-04-10,2023_15,2,0,2,1,april,A
2023-04-10,2023_15,3,1,3,1,april,A
2023-04-10,2023_15,0,0,NA,NA,april,A
2023-04-10,2023_15,2,0,1,1,april,A
2023-04-10,2023_15,3,0,5,3,april,A
2023-04-10,2023_15,1,1,1,1,april,A
2023-04-10,2023_15,0,0,NA,NA,april,A
2023-04-10,2023_15,2,0,2,1,april,A
2023-04-10,2023_15,0,0,NA,NA,april,A
2023-04-10,2023_15,0,0,NA,NA,april,A
2023-04-10,2023_15,0,0,NA,NA,april,A
2023-04-10,2023_15,0,0,NA,NA,april,A
2023-04-10,2023_15,5,0,5,5,april,A
2023-04-10,2023_15,5,0,5,5,april,A
2023-04-10,2023_15,0,0,NA,NA,april,A
2023-04-10,2023_15,0,0,NA,NA,april,A
2023-04-10,2023_15,2,0,2,1,april,A
2023-04-10,2023_15,0,0,NA,NA,april,A
2023-04-10,2023_15,6,0,6,4,april,A
2023-04-03,2023_14,0,0,NA,NA,april,B
2023-04-03,2023_14,0,0,NA,NA,april,B
2023-04-03,2023_14,0,0,NA,NA,april,B
2023-04-03,2023_14,0,0,NA,NA,april,B
2023-04-03,2023_14,0,0,NA,NA,april,B
2023-04-03,2023_14,0,0,NA,NA,april,B
2023-04-03,2023_14,17,0,10,9,april,B
2023-04-03,2023_14,2,0,2,2,april,B
2023-04-03,2023_14,8,0,8,4,april,B
2023-04-03,2023_14,1,0,1,0,april,B
2023-04-03,2023_14,10,0,10,1,april,B
2023-04-03,2023_14,1,0,1,0,april,B
2023-04-11,2023_15,5,0,5,1,april,C
2023-04-11,2023_15,20,0,12,7,april,C
2023-04-11,2023_15,1,0,1,1,april,C
2023-04-11,2023_15,2,0,2,2,april,C
2023-04-11,2023_15,0,0,NA,NA,april,C
2023-04-11,2023_15,1,0,1,1,april,C
2023-04-11,2023_15,1,0,1,1,april,C
2023-04-11,2023_15,3,1,3,2,april,C
2023-04-11,2023_15,0,0,NA,NA,april,C
2023-04-11,2023_15,1,0,1,1,april,C
2023-04-11,2023_15,2,0,2,0,april,C
2023-04-11,2023_15,4,0,4,3,april,C
2023-04-11,2023_15,3,0,NA,NA,april,C
2023-04-11,2023_15,9,0,9,1,april,D
2023-04-11,2023_15,2,0,2,0,april,D
2023-04-11,2023_15,2,0,2,0,april,D
2023-04-11,2023_15,0,0,NA,NA,april,D
2023-04-11,2023_15,0,0,NA,NA,april,D
2023-04-11,2023_15,1,0,1,0,april,D
2023-04-11,2023_15,0,0,NA,NA,april,D
2023-04-11,2023_15,0,0,NA,NA,april,D
2023-04-11,2023_15,2,0,2,0,april,D
2023-04-11,2023_15,4,0,4,0,april,D
2023-04-11,2023_15,3,0,3,0,april,D
2023-04-11,2023_15,5,0,5,0,april,D
2023-04-11,2023_15,3,0,3,0,april,D
2023-04-11,2023_15,18,0,10,0,april,D
2023-04-11,2023_15,13,0,10,0,april,D
2023-04-11,2023_15,3,0,3,0,april,D
2023-04-11,2023_15,2,0,2,0,april,D
2023-04-11,2023_15,4,0,4,0,april,D
2023-04-11,2023_15,0,0,NA,NA,april,D
2023-04-11,2023_15,8,0,7,0,april,D
2023-04-11,2023_15,4,0,4,0,april,D
2023-04-11,2023_15,0,0,NA,NA,april,D
2023-04-11,2023_15,1,0,1,0,april,D
2023-04-11,2023_15,8,0,7,1,april,D
2023-04-11,2023_15,0,0,NA,NA,april,D
2023-04-11,2023_15,3,0,3,1,april,D
2023-04-11,2023_15,2,0,2,0,april,D
2023-04-11,2023_15,0,0,NA,NA,april,D
2023-04-11,2023_15,19,2,10,0,april,D
2023-04-11,2023_15,1,0,1,1,april,D
2023-04-19,2023_16,10,0,9,7,april,E
2023-04-19,2023_16,0,0,NA,NA,april,E
2023-04-17,2023_16,2,1,2,2,april,E
2023-04-17,2023_16,1,0,1,1,april,E
